coin,timeframe,futures,swing_length,stop_loss_multiplier,take_profit_multiplier,min_strength_ratio,trailing_stop_activation,trailing_stop_percent,violation_type,risk_per_trade_percent,mean_test_sharpe,mean_test_roi,mean_test_profit_factor,mean_test_win_rate,mean_test_trades
ETHUSDT,15m,True,15,0.5,5,0.6,1.5,2.0,Close,1,-0.07906523771148383,-0.37762240090847715,0.9757241203979188,0.5634920634920635,19
ETHUSDT,15m,True,20,1.2,5,0.3,2.5,3.0,Close,1,0.39600242364060195,5.876173496344692,1.1421030038734992,0.4661903690369037,94
ETHUSDT,15m,True,30,0.5,4,0.7,2.5,2.0,Wick,2,0.0,0.0,0.0,0.0,0
ETHUSDT,15m,True,10,0.5,4,0.7,2.5,2.0,Close,1,-0.07940015595504873,-0.16914436035839053,0.9688912927015574,0.6354166666666667,14
ETHUSDT,15m,True,15,0.5,6,0.3,2.0,3.0,Wick,1,-0.5589015604475182,-7.302554188215934,0.8980649698757246,0.5299736495388669,135
ETHUSDT,15m,True,15,0.5,2,0.6,3.0,3.0,Wick,1,0.2754017855711661,0.4690033406261406,1.2816536512802594,0.8492063492063492,19
ETHUSDT,15m,True,10,0.7,3,0.7,1.5,1.5,Wick,1,-0.2252713238656029,-0.6625889825229871,0.890942289314339,0.6354166666666667,14
ETHUSDT,15m,True,5,1.2,4,0.3,2.0,1.5,Close,2,-1.5521868276994275,-68.88070040107542,0.8126244980191651,0.40801526717557257,268
ETHUSDT,15m,True,10,1.0,2,0.5,2.0,2.5,Wick,2,-0.33450023996319944,-5.7662345996925914,0.9377409811381263,0.6435020519835841,85
ETHUSDT,15m,True,10,0.7,3,0.7,3.0,2.0,Wick,2,-0.07206039968460937,-0.2521878492596321,0.9736814293359903,0.6354166666666667,14
ETHUSDT,15m,True,10,0.7,3,0.6,3.0,2.0,Close,1,0.2916801310108637,2.018620440173093,1.1672556978952486,0.6697851697851698,38
ETHUSDT,15m,True,30,1.2,5,0.4,2.5,2.5,Close,3,0.3715030146125021,12.51948484633578,1.275648682007642,0.5267857142857143,56
ETHUSDT,15m,True,15,1.5,6,0.4,2.0,3.0,Close,1,0.4107470882909313,6.27236934264218,1.123283889379565,0.3719298245614035,95
ETHUSDT,15m,True,15,0.7,5,0.3,3.0,1.5,Wick,2,-1.016062662483575,-26.81712574588967,0.8190190924095148,0.5021890435563539,133
ETHUSDT,15m,True,30,1.2,6,0.7,2.0,2.5,Close,2,0.0,0.0,0.0,0.0,0
ETHUSDT,15m,True,5,1.5,3,0.3,2.0,1.5,Close,2,-1.0372872151063999,-42.72662561702018,0.8718267774512033,0.443244970132842,259
ETHUSDT,15m,True,10,0.7,4,0.5,1.5,2.5,Wick,1,-0.36314707280836966,-3.9135440324961603,0.9292657811575722,0.5323529411764706,85
ETHUSDT,15m,True,20,1.0,4,0.5,2.5,2.5,Close,3,-0.2789213495566414,-4.703952755587071,0.9256507883095613,0.5067567567567568,36
ETHUSDT,15m,True,5,0.5,3,0.3,1.5,2.5,Wick,1,-0.5676803066850894,-9.61817964872748,0.9276983292194367,0.6479711973089457,308
ETHUSDT,15m,True,30,0.7,6,0.4,2.0,3.0,Close,1,0.4186026734754246,3.4275766317652434,1.1522470564241325,0.5655737704918034,61
ETHUSDT,15m,True,20,1.0,3,0.4,2.0,2.0,Close,3,-0.012641076571884735,1.011231618213288,1.0145255941854143,0.6037183544303797,79
